food_name,data_type
"Baby Toddler fruit, vegetables, and meat",Survey (FNDDS)
"Baby Toddler fruit, with grain",Survey (FNDDS)
"Baby Toddler fruit, with yogurt",Survey (FNDDS)
"Baby Toddler green beans, Stage 1",Survey (FNDDS)
"Baby Toddler green beans, Stage 2",Survey (FNDDS)
Baby Toddler ham,Survey (FNDDS)
"Baby Toddler juice, apple",Survey (FNDDS)
"Baby Toddler juice, fruit and vegetable",Survey (FNDDS)
"Baby Toddler juice, fruit and yogurt blend",Survey (FNDDS)
"Baby Toddler juice, grape",Survey (FNDDS)
"Baby Toddler juice, mixed fruit",Survey (FNDDS)
"Baby Toddler juice, NFS",Survey (FNDDS)
"Baby Toddler juice, pear",Survey (FNDDS)
Baby Toddler mangoes,Survey (FNDDS)
Baby Toddler meat stick,Survey (FNDDS)
"Baby Toddler meat, NFS",Survey (FNDDS)
"Baby Toddler multiple fruit, Stage 2",Survey (FNDDS)
"Baby Toddler multiple fruit, Stage 3",Survey (FNDDS)
"Baby Toddler multiple vegetables, Stage 2",Survey (FNDDS)
"Baby Toddler multiple vegetables, Stage 3",Survey (FNDDS)
"Baby Toddler peaches, Stage 1",Survey (FNDDS)
"Baby Toddler peaches, Stage 2",Survey (FNDDS)
"Baby Toddler pears, Stage 1",Survey (FNDDS)
"Baby Toddler pears, Stage 2",Survey (FNDDS)
"Baby Toddler peas, Stage 1",Survey (FNDDS)
"Baby Toddler peas, Stage 2",Survey (FNDDS)
Baby Toddler prunes,Survey (FNDDS)
Baby Toddler pudding,Survey (FNDDS)
"Baby Toddler puffs, fruit",Survey (FNDDS)
"Baby Toddler puffs, vegetable",Survey (FNDDS)
"Baby Toddler snack, NFS",Survey (FNDDS)
"Baby Toddler squash, Stage 1",Survey (FNDDS)
"Baby Toddler squash, Stage 2",Survey (FNDDS)
"Baby Toddler sweet potatoes, Stage 1",Survey (FNDDS)
"Baby Toddler sweet potatoes, Stage 2",Survey (FNDDS)
Baby Toddler turkey,Survey (FNDDS)
"Baby Toddler vegetable, NFS",Survey (FNDDS)
Baby Toddler vegetables and meat,Survey (FNDDS)
"Baby Toddler vegetables, with grain",Survey (FNDDS)
Baby Toddler wheels,Survey (FNDDS)
Baby Toddler yogurt melts,Survey (FNDDS)
"Baby Toddler yogurt, plain",Survey (FNDDS)
"Baby Toddler yogurt, with fruit",Survey (FNDDS)
"Babyfood, apple yogurt dessert, strained",SR Legacy
